word	count
firm,said	237
new,facebook	239
company,data	240
mr,analytica	245
political,data	245
times,cambridge	245
information,data	246
data,times	247
firm,data	251
cambridge,company	253
cambridge,times	255
data,users	255
firm,cambridge	259
facebook,times	260
facebook,mr	275
users,data	276
political,facebook	278
said,cambridge	280
company,said	289
nix,said	290
facebook,company	296
data,company	306
said,mr	307
analytica,mr	312
users,facebook	315
company,facebook	317
said,data	318
mr,cambridge	329
said,facebook	336
analytica,cambridge	340
analytica,facebook	346
facebook,users	348
nix,mr	352
analytica,data	355
facebook,analytica	363
analytica,said	384
cambridge,analytica	392
data,mr	410
data,analytica	423
cambridge,mr	427
mr,said	461
cambridge,facebook	464
facebook,said	471
cambridge,data	478
cambridge,said	512
facebook,cambridge	528
data,cambridge	569
facebook,data	614
data,said	622
data,facebook	675

